,rates
AED,3.975088
AFN,76.950778
ALL,100.251014
AMD,420.339206
ANG,1.95092
AOA,938.866105
ARS,990.805354
AUD,1.604526
AWG,1.950775
AZN,1.837542
BAM,1.955982
BBD,2.185622
BDT,127.201864
BGN,1.950641
BHD,0.40794
BIF,3115.276178
BMD,1.082261
BND,1.46133
BOB,7.480698
BRL,5.925834
BSD,1.082511
BTC,1.9536379e-05
BTN,90.417433
BWP,14.688149
BYN,3.542536
BYR,21212.314528
BZD,2.181922
CAD,1.476372
CDF,3101.75958
CHF,0.969055
CLF,0.036697
CLP,1012.595523
CNY,7.86706
CNH,7.886836
COP,4433.417027
CRC,568.605751
CUC,1.082261
CUP,28.679915
CVE,110.275286
CZK,25.141465
DJF,192.731949
DKK,7.459257
DOP,64.030648
DZD,145.259963
EGP,51.898526
ERN,16.233914
ETB,62.517232
EUR,1.0
FJD,2.417991
FKP,0.849144
GBP,0.844937
GEL,2.992405
GGP,0.849144
GHS,16.671555
GIP,0.849144
GMD,73.323591
GNF,9321.094268
GTQ,8.411785
GYD,226.491125
HKD,8.454303
HNL,26.808271
HRK,7.595781
HTG,143.282702
HUF,392.936528
IDR,17595.614901
ILS,3.997277
IMP,0.849144
INR,90.352015
IQD,1418.132273
IRR,45549.65424
ISK,149.28665
JEP,0.849144
JMD,169.13171
JOD,0.767101
JPY,173.846281
KES,138.031789
KGS,92.996237
KHR,4458.395249
KMF,491.888698
KPW,974.034993
KRW,1495.543677
KWD,0.331151
KYD,0.902184
KZT,518.078323
LAK,23911.241823
LBP,96941.080401
LKR,329.893336
LRD,210.432128
LSL,19.726099
LTL,3.195636
LVL,0.654649
LYD,5.272053
MAD,10.684597
MDL,19.268195
MGA,4849.04904
MKD,61.604239
MMK,3515.141334
MNT,3733.800367
MOP,8.709112
MRU,42.899434
MUR,51.039564
MVR,16.731594
MWK,1877.018983
MXN,19.55472
MYR,5.097987
MZN,68.934654
NAD,19.726099
NGN,1678.283922
NIO,39.852981
NOK,11.429233
NPR,144.655463
NZD,1.762392
OMR,0.416649
PAB,1.082601
PEN,4.106883
PGK,4.168042
PHP,63.376118
PKR,301.337048
PLN,4.286133
PYG,8157.082496
QAR,3.950869
RON,4.975913
RSD,117.020533
RUB,95.400083
RWF,1427.114433
SAR,4.060735
SBD,9.129738
SCR,15.125677
SDG,650.439176
SEK,11.368524
SGD,1.459678
SHP,1.367382
SLE,24.726744
SLL,22694.472967
SOS,614.724574
SRD,32.684825
STD,22400.616492
SVC,9.472884
SYP,2719.213554
SZL,19.719199
THB,39.437466
TJS,11.534876
TMT,3.787913
TND,3.380315
TOP,2.547913
TRY,35.342203
TTD,7.329074
TWD,35.054861
TZS,2876.022001
UAH,43.886344
UGX,4004.373498
USD,1.082261
UYU,43.63407
UZS,13623.270678
VEF,3920547.130338
VES,36.086102
VND,27506.744186
VUV,128.488157
WST,3.030996
XAF,655.963634
XAG,0.034868
XAU,0.000454
XCD,2.924865
XDR,0.822208
XOF,655.963634
XPF,119.331742
YER,270.971095
ZAR,19.670852
ZMK,9741.656252
ZMW,26.548268
ZWL,348.487583
